id,Country,Wage-USD,price,dayBorgir
0,China,1.9925,3.098450775,5.144506451
1,Hong Kong,4.985625,2.644837084,15.08032394
2,India,0.31875,2.526679743,1.009229605
3,Indonesia,0.69375,2.355386214,2.356301471
4,Japan,8.43625,3.635516197,18.56407628
5,Malaysia,1.659375,2.342046653,5.66811937
6,Pakistan,0.72875,3.303303303,1.7649
7,Philippines,1.464375,2.872981831,4.077645001
8,Singapore,0,4.251945806,0
9,South Korea,9.506875,3.747033598,20.29738939
10,Taiwan,4.098125,2.444282247,13.41293545
11,Thailand,1.376875,4.078381392,2.700826367
